Field=#~Integer~#~50|Field=Line #~String~Line #~52|Field=Name~String~Name~122|Field=Description~String~Description~80|Field=Designator~String~Designator~78|Field=Value~String~Value~63|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer PartNo 1~String~Manufacturer PartNo 1~138|Field=Manufacturer Lifecycle 1~String~Manufacturer Lifecycle 1~145|Field=Supplier 1~String~Supplier 1~73|Field=Supplier PartNo 1~String~Supplier PartNo 1~111|Field=Actual Price 1~Float~Actual Price 1~89|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~120|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Slave_brd.PrjPCB|ReportField=ProjectFullPath~C:\Users\Carlo\Documents\git\rfDOMOTIC\HW\Board\Slave\Slave_brd.PrjPCB|ReportField=Title~Bill of Materials For BOM Document [Slave_brd.BomDoc]|ReportField=ReportTime~21:00:42|ReportField=ReportDate~01/07/2019|ReportField=ReportDateTime~01/07/2019 21:00:42|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~93|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~01/07/2019|ReportField=CurrentTime~20:27:10|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Carlo\Documents\git\rfDOMOTIC\HW\Board\Slave\Actuation.SchDoc|ReportField=DocumentName~Actuation.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~21/06/2019|ReportField=Organization~|ReportField=ProjectName~Slave_brd.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~4|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Slave_brd.BomDoc|ReportField=DataSourceFullPath~C:\Users\Carlo\Documents\git\rfDOMOTIC\HW\Board\Slave\Slave_brd.BomDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1||Battery|Header, 2-Pin|Jp1||{URL}{URL.TEXT}{URL.TIP}Component||||||
62||Res1|Resistor|Rp5|10K|{URL}{URL.TEXT}Stackpole%20Electronics{URL.TIP}Component|RNCP0603FTD10K0|Volume Production||||
63||Res1|Resistor|Rs10|0|{URL}{URL.TEXT}Stackpole%20Electronics{URL.TIP}Component|RMCF0603ZT0R00|Volume Production||||
64||Res1|Resistor|Rs11|0|{URL}{URL.TEXT}Stackpole%20Electronics{URL.TIP}Component|RMCF0603ZT0R00|Volume Production||||
65||Res1|Resistor|Rs2|10K|{URL}{URL.TEXT}Stackpole%20Electronics{URL.TIP}Component|RNCP0603FTD10K0|Volume Production||||
66||Res1|Resistor|Rs3|10K|{URL}{URL.TEXT}Stackpole%20Electronics{URL.TIP}Component|RNCP0603FTD10K0|Volume Production||||
67||Res1|Resistor|Rs5|10K|{URL}{URL.TEXT}Stackpole%20Electronics{URL.TIP}Component|RNCP0603FTD10K0|Volume Production||||
68||Res1|Resistor|Rs7|10K|{URL}{URL.TEXT}Stackpole%20Electronics{URL.TIP}Component|RNCP0603FTD10K0|Volume Production||||
69||Res1|Resistor|Rs8|0|{URL}{URL.TEXT}Stackpole%20Electronics{URL.TIP}Component|RMCF0603ZT0R00|Volume Production||||
70||Res1|Resistor|Rs9|0|{URL}{URL.TEXT}Stackpole%20Electronics{URL.TIP}Component|RMCF0603ZT0R00|Volume Production||||
71||LM358DT|LM358 Series 30 V 1.1 MHz Low Power Dual Operational Amplifier - SOIC-8|Us2||{URL}{URL.TEXT}STMicroelectronics{URL.TIP}Component|LM358DT|Volume Production||||
72||Inductor|Inductor|Lc1|10uH|{URL}{URL.TEXT}Taiyo%20Yuden{URL.TIP}Component|CKS2125100M-T|Volume Production||||
73||MLZ2012N220LT000|Inductor|Lp1|22uH|{URL}{URL.TEXT}TDK{URL.TIP}Component|MLZ2012N220LT000|Volume Production||||
74||LMR14010A|LMR14010A 4-V to 40-V, 1-A Step-Down Converter With High Efficiency Eco-mode|Up2||{URL}{URL.TEXT}Texas%20Instruments{URL.TIP}Component|LMR14010ADDCR|Unknown||||
75||MOSFET-N|N-Channel MOSFET|Qa1||{URL}{URL.TEXT}Toshiba{URL.TIP}Component|T2N7002AK,LM|Volume Production||||
76||74404043220A|Inductor|Lp2|22uH|{URL}{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|74404043220A|Unknown||||
77||Header 5|Header, 5-Pin|Jp3||{URL}{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|614105150721|Volume Production||||
78||LED1|Typical INFRARED GaAs LED|Dc3||{URL}{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|150080RS75000|Volume Production||||
79||LED2|Typical INFRARED GaAs LED|Dc4||{URL}{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|150080YS75000|Volume Production||||
80||LED3|Typical INFRARED GaAs LED|Dc5||{URL}{URL.TEXT}Wurth%20Electronics{URL.TIP}Component|150080VS75000|Volume Production||||
81||Cap|Capacitor|Cc15|1pF|{URL}{URL.TEXT}Yageo{URL.TIP}Component|CC0603CRNPO9BN1R0|Volume Production||||
82||Cap|Capacitor|Cc16|1pF|{URL}{URL.TEXT}Yageo{URL.TIP}Component|CC0603CRNPO9BN1R0|Volume Production||||
83||Cap|Capacitor|Cc17|1pF|{URL}{URL.TEXT}Yageo{URL.TIP}Component|CC0603CRNPO9BN1R0|Volume Production||||
84||Cap|Capacitor|Cc24|1p8F|{URL}{URL.TEXT}Yageo{URL.TIP}Component|CC0603CRNPO9BN1R8|Volume Production||||
85||Res1|Resistor|Ra1|470|{URL}{URL.TEXT}Yageo{URL.TIP}Component|RC0603FR-07470RL|Volume Production||||
86||Res1|Resistor|Ra5|470|{URL}{URL.TEXT}Yageo{URL.TIP}Component|RC0603FR-07470RL|Volume Production||||
87||Res1|Resistor|Rc10|2K2|{URL}{URL.TEXT}Yageo{URL.TIP}Component|RC0603FR-07220KL|Volume Production||||
88||Res1|Resistor|Rc11|2K2|{URL}{URL.TEXT}Yageo{URL.TIP}Component|RC0603FR-07220KL|Volume Production||||
89||Res1|Resistor|Rc9|2K2|{URL}{URL.TEXT}Yageo{URL.TIP}Component|RC0603FR-07220KL|Volume Production||||
90||Res1|Resistor|Rp1|53K6|{URL}{URL.TEXT}Yageo{URL.TIP}Component|RC0603FR-07536KL|Volume Production||||
91||Res1|Resistor|Rs1|33|{URL}{URL.TEXT}Yageo{URL.TIP}Component|RC0603FR-07330RL|Volume Production||||
92||Res1|Resistor|Rs4|4k7|{URL}{URL.TEXT}Yageo{URL.TIP}Component|RC0603JR-0747KL|Volume Production||||
93||Res1|Resistor|Rs6|4k7|{URL}{URL.TEXT}Yageo{URL.TIP}Component|RC0603JR-0747KL|Volume Production||||
